checkpoint,t_start,guidance_scale,auroc,auprc,f1_score,accuracy,sensitivity,specificity,precision,optimal_threshold
step_80000.pt,100,7.5,0.7341234567901235,0.8400802974551936,0.7627695800227015,0.6903703703703704,0.7466666666666667,0.5777777777777777,0.7795823665893271,0.1434643268585205
step_70000.pt,100,7.5,0.7338567901234568,0.8395901436410871,0.6485753052917232,0.6162962962962963,0.5311111111111111,0.7866666666666666,0.8327526132404182,0.18923035264015198
step_90000.pt,100,5.0,0.7336790123456791,0.8401091154490334,0.7613636363636364,0.6888888888888889,0.7444444444444445,0.5777777777777777,0.7790697674418605,0.14451146125793457
step_90000.pt,100,3.0,0.7335901234567902,0.8393132513100585,0.7599544937428896,0.6874074074074074,0.7422222222222222,0.5777777777777777,0.7785547785547785,0.14441341161727905
step_70000.pt,100,3.0,0.7335901234567901,0.8392478393402576,0.6429548563611491,0.6133333333333333,0.5222222222222223,0.7955555555555556,0.8362989323843416,0.19258323311805725
step_80000.pt,100,5.0,0.7335308641975309,0.839389348393184,0.6419753086419753,0.6133333333333333,0.52,0.8,0.8387096774193549,0.19415511190891266
step_80000.pt,100,3.0,0.7334320987654322,0.8391132463345472,0.7599544937428896,0.6874074074074074,0.7422222222222222,0.5777777777777777,0.7785547785547785,0.14392389357089996
step_140000.pt,250,3.0,0.7332938271604938,0.8411152146726409,0.7423167848699763,0.677037037037037,0.6977777777777778,0.6355555555555555,0.7929292929292929,0.2087455689907074
step_70000.pt,100,5.0,0.7332543209876543,0.8389156954756412,0.7676767676767676,0.6933333333333334,0.76,0.56,0.7755102040816326,0.14093689620494843
step_60000.pt,100,5.0,0.7332543209876542,0.8395337999232366,0.644808743169399,0.6148148148148148,0.5244444444444445,0.7955555555555556,0.8368794326241135,0.19173523783683777
step_50000.pt,100,7.5,0.7331753086419752,0.8406490572265717,0.6485753052917232,0.6162962962962963,0.5311111111111111,0.7866666666666666,0.8327526132404182,0.18916819989681244
step_60000.pt,100,3.0,0.733116049382716,0.8392591767415458,0.7585421412300684,0.6859259259259259,0.74,0.5777777777777777,0.7780373831775701,0.14446035027503967
step_50000.pt,100,3.0,0.7327012345679013,0.8400927324719352,0.5757121439280359,0.5807407407407408,0.4266666666666667,0.8888888888888888,0.8847926267281107,0.2220253050327301
step_50000.pt,100,5.0,0.7322469135802468,0.8394905226461334,0.644808743169399,0.6148148148148148,0.5244444444444445,0.7955555555555556,0.8368794326241135,0.19193337857723236
step_120000.pt,250,3.0,0.7312888888888889,0.8385394170381242,0.813141683778234,0.7303703703703703,0.88,0.4311111111111111,0.7557251908396947,0.1580165475606918
step_140000.pt,250,7.5,0.7309925925925926,0.8391216777739585,0.727710843373494,0.6651851851851852,0.6711111111111111,0.6533333333333333,0.7947368421052632,0.2157552242279052
step_120000.pt,250,5.0,0.7309234567901235,0.8379402138830944,0.7935135135135135,0.717037037037037,0.8155555555555556,0.52,0.7726315789473684,0.1769840717315673
step_130000.pt,250,3.0,0.73039012345679,0.8370005185587521,0.7961579509071505,0.717037037037037,0.8288888888888889,0.4933333333333333,0.7659137577002053,0.1733218729496002
step_140000.pt,250,5.0,0.7297679012345679,0.8380156215288208,0.7369668246445498,0.6711111111111111,0.6911111111111111,0.6311111111111111,0.7893401015228426,0.2120474576950073
step_130000.pt,250,7.5,0.729679012345679,0.8390537328298071,0.7865655471289275,0.7081481481481482,0.8066666666666666,0.5111111111111111,0.7674418604651163,0.1816465854644775
